Current Time,Relative Time,Button Pushed,Zig ID,Zig X,Zig Y,Zig Z,Zig Qw,Zig Qx,Zig Qy,Zig Qz,P1 ID,P1 X,P1 Y,P1 Z,P1 Qw,P1 Qx,P1 Qy,P1 Qz,P2 ID,P2 X,P2 Y,P2 Z,P2 Qw,P2 Qx,P2 Qy,P2 Qz,Zig 1 ID,Zig 1 X,Zig 1 Y,Zig 1 Z,Zig 1 Yaw,Zig 1 Pitch,Zig 1 Distance,Zig 2 ID,Zig 2 X,Zig 2 Y,Zig 2 Z,Zig 2 Yaw,Zig 2 Pitch,Zig 2 Distance
2537.642494,4.157324001000234,True,0,-0.999408,-0.000131,-0.005233,-0.034015,-0.098528,-0.073173,0.105175,1,0.947078,0.174061,-0.066167,0.261474,-0.703258,1.225331,0.243260,2,0.973151,-0.221146,0.054599,-0.033025,0.239679,1.292951,0.262795,2,-0.5136169195175171,1.2491761445999146,-0.019767727702856064,-22.35072635962565,-0.8385075675377922,1.3507901921877818,3,0.3791516423225403,1.283713936805725,-0.012246361002326012,16.454781873570106,-0.524188706820286,1.3385915780337676
2537.678078999,4.192908999999872,True,0,-0.999407,-0.000123,-0.005263,-0.034031,-0.098523,-0.073168,0.105177,1,0.947008,0.174259,-0.066402,0.261534,-0.703289,1.225225,0.243253,2,0.973097,-0.221700,0.055269,-0.029609,0.240749,1.293609,0.263046,2,-0.5136169195175171,1.2491761445999146,-0.019767727702856064,-22.35072635962565,-0.8385075675377922,1.3507901921877818,3,0.3791516423225403,1.283713936805725,-0.012246361002326012,16.454781873570106,-0.524188706820286,1.3385915780337676
2537.694323,4.209153001000232,True,0,-0.999408,-0.000096,-0.005254,-0.034011,-0.098523,-0.073170,0.105180,1,0.946920,0.174535,-0.066598,0.261618,-0.703270,1.225027,0.243220,2,0.972684,-0.223856,0.055359,-0.026634,0.241514,1.294591,0.263349,2,-0.5136169195175171,1.2491761445999146,-0.019767727702856064,-22.35072635962565,-0.8385075675377922,1.3507901921877818,3,0.3791516423225403,1.283713936805725,-0.012246361002326012,16.454781873570106,-0.524188706820286,1.3385915780337676
2537.722823,4.237653001000126,True,0,-0.999408,-0.000119,-0.005250,-0.034010,-0.098528,-0.073170,0.105175,1,0.946899,0.175024,-0.066544,0.261383,-0.703247,1.224801,0.243155,2,0.972339,-0.225577,0.055311,-0.024747,0.241675,1.295774,0.263661,2,-0.5149424076080322,1.2490239143371582,-0.022498419508337975,-22.40517174084528,-0.9540609654591801,1.3511967290589653,3,0.39642810821533203,1.275058388710022,-0.014145724475383759,17.27097972174792,-0.6069662447286662,1.3353386241414265
2537.766078,4.280908001000171,True,0,-0.999408,-0.000135,-0.005250,-0.033995,-0.098525,-0.073169,0.105175,1,0.946978,0.175234,-0.066769,0.260900,-0.703266,1.224581,0.243099,2,0.971841,-0.228251,0.053540,-0.023645,0.241900,1.297017,0.264045,2,-0.5149424076080322,1.2490239143371582,-0.022498419508337975,-22.40517174084528,-0.9540609654591801,1.3511967290589653,3,0.39642810821533203,1.275058388710022,-0.014145724475383759,17.27097972174792,-0.6069662447286662,1.3353386241414265
2537.788654999,4.30348499999991,True,0,-0.999407,-0.000080,-0.005261,-0.034030,-0.098524,-0.073173,0.105178,1,0.947023,0.175403,-0.067074,0.260543,-0.703282,1.224349,0.243062,2,0.971343,-0.231285,0.049107,-0.024279,0.242419,1.297933,0.264316,2,-0.5149424076080322,1.2490239143371582,-0.022498419508337975,-22.40517174084528,-0.9540609654591801,1.3511967290589653,3,0.39642810821533203,1.275058388710022,-0.014145724475383759,17.27097972174792,-0.6069662447286662,1.3353386241414265
2537.822971999,4.337802000000011,True,0,-0.999410,-0.000050,-0.005244,-0.033956,-0.098528,-0.073157,0.105177,1,0.947059,0.175581,-0.067191,0.260262,-0.703257,1.224005,0.243002,2,0.971008,-0.232885,0.048460,-0.023637,0.242511,1.299063,0.264095,2,-0.5144572257995605,1.248802900314331,-0.021425066515803337,-22.389716794365622,-0.9088142885097823,1.3507901222936418,3,0.4108693301677704,1.2695554494857788,-0.019322188571095467,17.933263442445558,-0.8295972151874152,1.3345253810859976
2537.867995999,4.382826000000023,True,0,-0.999409,-0.000070,-0.005247,-0.033960,-0.098526,-0.073156,0.105170,1,0.946964,0.176153,-0.067827,0.260054,-0.703283,1.223548,0.242948,2,0.970815,-0.233866,0.046986,-0.024852,0.243005,1.299717,0.263774,2,-0.5144572257995605,1.248802900314331,-0.021425066515803337,-22.389716794365622,-0.9088142885097823,1.3507901222936418,3,0.4108693301677704,1.2695554494857788,-0.019322188571095467,17.933263442445558,-0.8295972151874152,1.3345253810859976
2537.887760999,4.4025910000000295,True,0,-0.999410,-0.000043,-0.005249,-0.033957,-0.098527,-0.073155,0.105177,1,0.946935,0.176465,-0.068165,0.259860,-0.703274,1.223265,0.242920,2,0.970726,-0.234145,0.046992,-0.025667,0.243534,1.300010,0.263369,2,-0.5144572257995605,1.248802900314331,-0.021425066515803337,-22.389716794365622,-0.9088142885097823,1.3507901222936418,3,0.4108693301677704,1.2695554494857788,-0.019322188571095467,17.933263442445558,-0.8295972151874152,1.3345253810859976
2537.968805999,4.483635999999933,True,0,-0.999407,-0.000114,-0.005250,-0.034031,-0.098528,-0.073168,0.105178,1,0.946953,0.176619,-0.068323,0.259649,-0.703226,1.223044,0.242872,2,0.970933,-0.233382,0.045732,-0.027034,0.244003,1.300048,0.263040,2,-0.5191258788108826,1.2574949264526367,-0.017557069659233093,-22.432079883174247,-0.7393882596805037,1.3605489402444562,3,0.4088134765625,1.277862310409546,-0.022041451185941696,17.74050412551546,-0.941196263227773,1.341844390588835
2537.986683,4.5015130010001485,True,0,-0.999407,-0.000109,-0.005258,-0.034017,-0.098526,-0.073168,0.105176,1,0.947034,0.176818,-0.068273,0.259231,-0.703157,1.222866,0.242815,2,0.971179,-0.232329,0.044661,-0.028991,0.244488,1.299765,0.262697,2,-0.5191258788108826,1.2574949264526367,-0.017557069659233093,-22.432079883174247,-0.7393882596805037,1.3605489402444562,3,0.4088134765625,1.277862310409546,-0.022041451185941696,17.74050412551546,-0.941196263227773,1.341844390588835
2538.019651999,4.534482000000025,True,0,-0.999407,-0.000136,-0.005267,-0.034026,-0.098530,-0.073170,0.105178,1,0.947048,0.177090,-0.068423,0.258956,-0.703067,1.222688,0.242781,2,0.971222,-0.232176,0.043148,-0.030978,0.245217,1.299367,0.262575,2,-0.5162433385848999,1.2586435079574585,-0.02007168158888817,-22.30140342408707,-0.8452943450033616,1.3605489837409552,3,0.41648536920547485,1.2617205381393433,-0.019932352006435394,18.26770533147648,-0.8594630176211416,1.3288325996081534
